company,title,label,score,signed_score
Infosys,Infosys signs multi-year digital transformation deal with European client,POSITIVE,0.9944646954536438,0.9944646954536438
Infosys,Infosys launches new AI-powered automation platform for enterprises,POSITIVE,0.9949591159820557,0.9949591159820557
Infosys,Infosys reports steady growth in quarterly earnings,POSITIVE,0.9996577501296997,0.9996577501296997
Infosys,Infosys expands delivery center operations in India,POSITIVE,0.9990894794464111,0.9990894794464111
Infosys,Infosys strengthens cloud partnership with a major hyperscaler,POSITIVE,0.9995094537734985,0.9995094537734985
Reliance Industries,Reliance Industries announces progress in green energy initiatives,POSITIVE,0.9992350339889526,0.9992350339889526
Reliance Industries,Reliance Retail expands footprint across major Indian cities,POSITIVE,0.9987502098083496,0.9987502098083496
Reliance Industries,Reliance Industries posts strong quarterly financial results,POSITIVE,0.9970198273658752,0.9970198273658752
Reliance Industries,Reliance Jio records highest subscriber growth this year,POSITIVE,0.9960743188858032,0.9960743188858032
Reliance Industries,Reliance increases investment in large-scale renewable projects,POSITIVE,0.9983437061309814,0.9983437061309814
TCS,TCS wins digital banking deal,POSITIVE,0.9997010827064514,0.9997010827064514
TCS,Analysts flag concerns over margins at TCS,NEGATIVE,0.9665773510932922,-0.9665773510932922
TCS,TCS announces partnership on AI research,POSITIVE,0.998989999294281,0.998989999294281
TCS,TCS quarterly revenue beats estimates,NEGATIVE,0.71137535572052,-0.71137535572052
TCS,TCS expands hiring across India,POSITIVE,0.9988939166069031,0.9988939166069031
